,stadium_id,stadium,RoofType,Longitude,Latitude,Altitude,StadiumAzimuthAngle,Surface,Turf,name,team,location,capacity,surface,roof_type,opened,stadium_detail_url,latitude,longitude,maps_url,maps_url2
0,PIT00,Acrisure Stadium,Outdoor,-80.015833,40.446667,220.0,333.9,Natural,Kentucky,Acrisure Stadium,Pittsburgh Steelers,"Pittsburgh, Pennsylvania","68,400",Kentucky bluegrass,Open,2001,https://en.wikipedia.org//wiki/Acrisure_Stadium,40°26′48″N,80°0′57″W,https://www.google.com/maps/search/?api=1&query=40°26′48″N%2C80°0′57″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=40.4466666666667%2C-80.0158333333333&basemap=satellite&zoom=18
1,VEG00,Allegiant Stadium,Indoor,-115.183722,36.09075,670.0,0.0,Natural,Bermuda,Allegiant Stadium,Las Vegas Raiders,"Paradise, Nevada","65,000",Bermuda grass,Fixed,2020,https://en.wikipedia.org//wiki/Allegiant_Stadium,36°05′26″N,115°11′2″W,https://www.google.com/maps/search/?api=1&query=36°05′26″N%2C115°11′2″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=36.0905555555556%2C-115.183888888889&basemap=satellite&zoom=18
2,GER00,Alliance Stadium,Indoor,11.6247,48.2188,520.0,0.0,Hybrid,LayandPlay,Allianz Arena,,"Munich, Germany","75,024",Grass,Open,2005,https://en.wikipedia.org//wiki/Allianz_Arena,48°13′8″N,11°37′29″E,https://www.google.com/maps/search/?api=1&query=48°13′8″N%2C11°37′29″E&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=48.2188888888889%2C11.6247222222222&basemap=satellite&zoom=18
3,SAO00,Arena Corinthians,Indoor,-46.4742,-23.5453,792.0,0.0,Hybrid,LayandPlay,Neo Química Arena,,"São Paulo, Brazil","48,234",Grass,Open,2014,https://en.wikipedia.org//wiki/Neo_Qu%C3%ADmica_Arena,23°32′42.9″S,46°28′27.4″W,https://www.google.com/maps/search/?api=1&query=23°32′42.9″S%2C46°28′27.4″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=-23.54525%2C-46.4742777777778&basemap=satellite&zoom=18
4,KAN00,Arrowhead Stadium,Outdoor,-94.483889,39.048889,305.0,316.3,Natural,Bermuda,Arrowhead Stadium,Kansas City Chiefs,"Kansas City, Missouri","76,416",Bermuda grass,Open,1972,https://en.wikipedia.org//wiki/Arrowhead_Stadium,39°2′56″N,94°29′2″W,https://www.google.com/maps/search/?api=1&query=39°2′56″N%2C94°29′2″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.0488888888889%2C-94.4838888888889&basemap=satellite&zoom=18
5,DAL00,AT&T Stadium,Retractable,-97.092778,32.747778,186.0,68.0,Astro,Hellas,AT&T Stadium,Dallas Cowboys,"Arlington, Texas","80,000",Hellas Matrix Turf,Retractable,2009,https://en.wikipedia.org//wiki/AT%26T_Stadium,32°44′52″N,97°5′34″W,https://www.google.com/maps/search/?api=1&query=32°44′52″N%2C97°5′34″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=32.7477777777778%2C-97.0927777777778&basemap=satellite&zoom=18
6,MEX00,Azteca Stadium,Outdoor,-99.150442,19.302911,2200.0,5.9,Hybrid,LayandPlay,Estadio Azteca,,"Mexico City, Mexico","87,523",Grass,Open,1966[d],https://en.wikipedia.org//wiki/Estadio_Azteca,19°18′11″N,99°09′02″W,https://www.google.com/maps/search/?api=1&query=19°18′11″N%2C99°09′02″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=19.3030555555556%2C-99.1505555555556&basemap=satellite&zoom=18
7,CAR00,Bank of America Stadium,Outdoor,-80.852778,35.225833,220.0,322.4,Astro,Revolution,Bank of America Stadium,Carolina Panthers,"Charlotte, North Carolina","74,867",FieldTurf,Open,1996,https://en.wikipedia.org//wiki/Bank_of_America_Stadium,35°13′33″N,80°51′10″W,https://www.google.com/maps/search/?api=1&query=35°13′33″N%2C80°51′10″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=35.2258333333333%2C-80.8527777777778&basemap=satellite&zoom=18
8,NOR00,Caesars Superdome,Indoor,-90.0811,29.950833,-2.0,30.0,Astro,Revolution,Caesars Superdome,New Orleans Saints,"New Orleans, Louisiana","73,208",FieldTurf Revolution 360[10],Fixed,1975,https://en.wikipedia.org//wiki/Caesars_Superdome,29°57′3″N,90°4′52″W,https://www.google.com/maps/search/?api=1&query=29°57′3″N%2C90°4′52″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=29.9508333333333%2C-90.0811111111111&basemap=satellite&zoom=18
9,DUB00,Croke Park,Outdoor,-6.2511,53.3607,55.0,342.5,Hybrid,LayandPlay,,,,,,,,,,,,
10,FRA00,Deutsche Bank Park,Indoor,8.6455,50.0686,144.0,0.0,Hybrid,LayandPlay,Deutsche Bank Park,,"Frankfurt, Germany","51,500",Grass,Retractable,1925[c],https://en.wikipedia.org//wiki/Deutsche_Bank_Park,50°04′05″N,8°38′45″E,https://www.google.com/maps/search/?api=1&query=50°04′05″N%2C8°38′45″E&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=50.0680555555556%2C8.64583333333333&basemap=satellite&zoom=18
